origin_type,group,reference_filename,reference_relative_path,provisional_filename,provisional_relative_path,evolution,status,sha256,visual_qa
B04-CUL,culinary,aachat-level-05-b04-cul-cand-02-02-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-02-02-256.png,aachat-ascend-culinary-unlinked-boba.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-boba.png,boba,accepted,8e4cc54d4fe2f0c9e42c093dd8c1c45703e93334cde4acaea9e14e64161025c7,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-02-06-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-02-06-256.png,aachat-ascend-culinary-unlinked-toast.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-toast.png,toast,accepted,a0642d4ec00f2d6e9edc9a2a8ae131eb357392eef13821f5de4db84ad026c820,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-02-08-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-02-08-256.png,aachat-ascend-culinary-unlinked-melon.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-melon.png,melon,accepted,ed370e3afc6996f96f3465d50a699e928305897f8dfcfa36501e009472e274c9,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-02-16-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-02-16-256.png,aachat-ascend-culinary-unlinked-sundae.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-sundae.png,sundae,accepted,b25d3e2d51c3494d8403730fae3b9ebc103878662359289ad33336bb2d1d0475,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-05-01-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-05-01-256.png,aachat-ascend-culinary-unlinked-popcorn.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-popcorn.png,popcorn,accepted,efacf8be88a71a3accd01588e699ef39d2bbf50e347e4546bd5c31dd2fc9fee2,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-05-04-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-05-04-256.png,aachat-ascend-culinary-unlinked-roe.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-roe.png,roe,accepted,fc19afc2f09737e6e73023a63ecf164192772c808aa6f31b8f8e9b80ee2fbf50,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-05-07-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-05-07-256.png,aachat-ascend-culinary-unlinked-pineapple.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-pineapple.png,pineapple,accepted,f8d339cf70567296ac72dd73c4d025f4d6dfa9e682a3fb3ca9c32ddbdaabf590,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-05-10-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-05-10-256.png,aachat-ascend-culinary-unlinked-donut.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-donut.png,donut,accepted,f50cd7fc4523e421de109bd461dba52cb083d3b5c9f8f226edbd6028a687366a,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-06-02-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-06-02-256.png,aachat-ascend-culinary-unlinked-cupcake.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-cupcake.png,cupcake,accepted,e225dbb60ca1e310fcf6fe86dc6a643c4f3b94b0606d77e303b4a1fa9badbc1b,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-06-16-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-06-16-256.png,aachat-ascend-culinary-unlinked-burger.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-burger.png,burger,accepted,300e9cde9bcf59307931a873225b621733446188e23bcd09e7e5b321298e534b,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-07-10-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-07-10-256.png,aachat-ascend-culinary-unlinked-pizza.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-pizza.png,pizza,accepted,7f1c3e117215cd2f28dab59ae135ac98619f9282eb13f61c83ac51467df84c38,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-08-06-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-08-06-256.png,aachat-ascend-culinary-unlinked-nigiri.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-nigiri.png,nigiri,accepted,22df3aa6b604ac1701de5d5776b36a0a81dea2bf81529545ee163804b58c6217,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-08-13-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-08-13-256.png,aachat-ascend-culinary-unlinked-cinema.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-cinema.png,cinema,accepted,9ed27ae9097251e3a0367076b3a7bfb1d95d8dafc8ef802b0e8ba81e20b20bb9,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-08-17-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-08-17-256.png,aachat-ascend-culinary-unlinked-calzone.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-calzone.png,calzone,accepted,aa3a09a67b74ee1cfe8044d751e6b92e33ac189148c455d4863b9ae8ad8984c4,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-09-07-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-09-07-256.png,aachat-ascend-culinary-unlinked-custard.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-custard.png,custard,accepted,f685f851ddddeac107a314d4c047d6fbe6dd392dcaa97f3bf5d4f0cb0c6ba0fb,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-09-15-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-09-15-256.png,aachat-ascend-culinary-unlinked-gelato.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-gelato.png,gelato,accepted,18acc1f52535b19cbbc4975711576e4055f328c9d05589231abe8dd25edb8d30,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-12-03-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-12-03-256.png,aachat-ascend-culinary-unlinked-apple.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-apple.png,apple,accepted,194b0586a68b78acc18bd0c36873866522ce1f9801fda04e3bf028d6de86ad94,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-12-07-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-12-07-256.png,aachat-ascend-culinary-unlinked-jubilee.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-jubilee.png,jubilee,accepted,3ba0fba04e79b3944fb1b6ae4a0ccc99064c731c541f53fb8c45f431e8ae078a,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-12-10-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-12-10-256.png,aachat-ascend-culinary-unlinked-coconut.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-coconut.png,coconut,accepted,d996c4e04a7473090e60ddca60483d1de9a86644d60d507f3e754b037b78fe4a,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-12-14-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-12-14-256.png,aachat-ascend-culinary-unlinked-zenith.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-zenith.png,zenith,accepted,01eab4aa5870c33d2041b3d6558a9a7ac4b14ab4c3d89d061739a0468ebed3fd,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-12-18-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-12-18-256.png,aachat-ascend-culinary-unlinked-mosaic.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-mosaic.png,mosaic,accepted,1085829e7a147c2eac4298a67734fd47b0dd7b499e33e81dc920fc0e9929fc54,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-13-15-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-13-15-256.png,aachat-ascend-culinary-unlinked-ramen.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-ramen.png,ramen,accepted,a6b0e1ac67bc0d41574c33dce0a3bc2c959ea1ecb4ae63f03855166a593fc5d4,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-15-03-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-15-03-256.png,aachat-ascend-culinary-unlinked-lime.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-lime.png,lime,accepted,a50960cad8fa69e8d7f899faa01b99bce9775fe0fcd0f911aea432f622a83dda,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-15-07-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-15-07-256.png,aachat-ascend-culinary-unlinked-canopy.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-canopy.png,canopy,accepted,4c5f22e261bbe69a903e8c94cebc38ff00fe0ade278494a8bd149e855d551d69,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-15-10-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-15-10-256.png,aachat-ascend-culinary-unlinked-tropic.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-tropic.png,tropic,accepted,d633047ee417de4c25343afea94a31631c5afd605635b84e6025137870223fa8,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-15-14-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-15-14-256.png,aachat-ascend-culinary-unlinked-pickle.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-pickle.png,pickle,accepted,c8125f44752fd68b8a3c4bfaf0bef92380932a5313092791341d2e9d7084ef80,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-15-18-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-15-18-256.png,aachat-ascend-culinary-unlinked-savor.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-savor.png,savor,accepted,63b641a40621ab391dc1805e659d3f1b57dd4b3b93c0fba39d999aed88cea7f6,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-16-04-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-16-04-256.png,aachat-ascend-culinary-unlinked-brew.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-brew.png,brew,accepted,1ad158edeb5d984e0d7a470c4944a4093d0f8fb1cb71458aabb52d5bdad38135,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-17-07-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-17-07-256.png,aachat-ascend-culinary-unlinked-berry.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-berry.png,berry,accepted,5891814b9b8dffbd226a4e5d9d0c0ce49a3cccb4aa30232298cc4783b47a0656,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-18-09-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-18-09-256.png,aachat-ascend-culinary-unlinked-rind.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-rind.png,rind,accepted,0293c257593fb221e7b3ad0e3dc5338626d2de080b1cde1aeb6533f7657c2b6b,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-19-09-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-19-09-256.png,aachat-ascend-culinary-unlinked-harvest.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-harvest.png,harvest,accepted,6acb975d5643e311453931388c593c647ce30de60257eff474f462f11093c7ac,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-20-07-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-20-07-256.png,aachat-ascend-culinary-unlinked-royale.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-royale.png,royale,accepted,5741c80faa0c472d672be666f01ec96b508f9fc4addfc56f66d5cc142b35bc78,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-20-09-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-20-09-256.png,aachat-ascend-culinary-unlinked-trainer.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-trainer.png,trainer,accepted,54bb1126c8a156ce265bd5dda182294206333018f55458824758277876dcd7cb,pass
B04-CUL,culinary,aachat-level-05-b04-cul-cand-20-15-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-20-15-256.png,aachat-ascend-culinary-unlinked-itamae.png,B04-CUL__Culinary/aachat-ascend-culinary-unlinked-itamae.png,itamae,accepted,abcec962b55a7b40f3a2f00a31ad6628bbc833c65ebe06cd78e344f9168df0ae,pass
B07-MAT,mineral,aachat-level-05-b07-mat-cand-05-06-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-05-06-256.png,aachat-ascend-mineral-unlinked-prism.png,B07-MAT__Material_&_Mineral/aachat-ascend-mineral-unlinked-prism.png,prism,accepted,b70f7e9cc465fbf3a0461702a29c3a3dd39ddf2d8d7eb627fb23ad855e4dfc4f,pass
B07-MAT,mineral,aachat-level-05-b07-mat-cand-06-07-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-06-07-256.png,aachat-ascend-mineral-unlinked-ooze.png,B07-MAT__Material_&_Mineral/aachat-ascend-mineral-unlinked-ooze.png,ooze,accepted,2c92ab1a8120d2e7ed6109fdd4b86bd6d6e39974b7052489414b3ab2032f3f96,pass
B07-MAT,mineral,aachat-level-05-b07-mat-cand-06-12-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-06-12-256.png,aachat-ascend-mineral-unlinked-glacier.png,B07-MAT__Material_&_Mineral/aachat-ascend-mineral-unlinked-glacier.png,glacier,accepted,c3c591a7d68782ac0398d920a09c7290cd9afe0afea74375ccf1b90e47bd6d09,pass
B07-MAT,mineral,aachat-level-05-b07-mat-cand-06-14-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-06-14-256.png,,,,pending,,
B07-MAT,mineral,aachat-level-05-b07-mat-cand-06-22-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-06-22-256.png,,,,pending,,
B07-MAT,mineral,aachat-level-05-b07-mat-cand-07-15-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-07-15-256.png,,,,pending,,
B07-MAT,mineral,aachat-level-05-b07-mat-cand-07-20-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-07-20-256.png,,,,pending,,
